,State Name,Indicator Name,Date,Value
0,Andhra Pradesh,Confirmed Cases of COVID-19 (Indian National),2020-03-23,7.0
1,Andhra Pradesh,Confirmed Cases of COVID-19 (Indian National),2020-03-24,8.0
2,Andhra Pradesh,Confirmed Cases of COVID-19 (Indian National),2020-03-25,9.0
3,Andhra Pradesh,Confirmed Cases of COVID-19 (Indian National),2020-03-26,11.0
4,Andhra Pradesh,Confirmed Cases of COVID-19 (Indian National),2020-03-27,12.0
5,Andhra Pradesh,Confirmed Cases of COVID-19 (Indian National),2020-03-28,14.0
6,Andhra Pradesh,Confirmed Cases of COVID-19 (Foreign National),2020-03-23,0.0
7,Andhra Pradesh,Confirmed Cases of COVID-19 (Foreign National),2020-03-24,0.0
8,Andhra Pradesh,Confirmed Cases of COVID-19 (Foreign National),2020-03-25,0.0
9,Andhra Pradesh,Confirmed Cases of COVID-19 (Foreign National),2020-03-26,0.0
10,Andhra Pradesh,Confirmed Cases of COVID-19 (Foreign National),2020-03-27,0.0
11,Andhra Pradesh,Confirmed Cases of COVID-19 (Foreign National),2020-03-28,0.0
12,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-03-23,0.0
13,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-03-24,0.0
14,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-03-25,1.0
15,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-03-26,1.0
16,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-03-27,1.0
17,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-03-28,1.0
18,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-03-29,1.0
19,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-03-30,0.0
20,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-03-31,0.0
21,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-04-01,1.0
22,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-04-02,1.0
23,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-04-03,1.0
24,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-04-04,1.0
25,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-04-05,1.0
26,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-04-06,1.0
27,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-04-07,1.0
28,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-04-08,5.0
29,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-04-09,6.0
30,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-04-10,7.0
31,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-04-11,11.0
32,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-04-12,11.0
33,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-04-13,11.0
34,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-04-14,14.0
35,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-04-15,16.0
36,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-04-16,20.0
37,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-04-17,36.0
38,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-04-18,42.0
39,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-04-19,42.0
40,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-04-20,92.0
41,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-04-21,96.0
42,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-04-22,120.0
43,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-04-23,141.0
44,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-04-24,145.0
45,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-04-25,171.0
46,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-04-26,231.0
47,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-04-27,235.0
48,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-04-28,258.0
49,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-04-29,287.0
50,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-04-30,321.0
51,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-05-01,403.0
52,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-05-02,441.0
53,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-05-03,488.0
54,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-05-04,524.0
55,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-05-05,589.0
56,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-05-06,589.0
57,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-05-07,729.0
58,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-05-08,780.0
59,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-05-09,842.0
60,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-05-10,887.0
61,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-05-11,925.0
62,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-05-12,975.0
63,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-05-13,1056.0
64,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-05-14,1142.0
65,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-05-15,1192.0
66,Andhra Pradesh,Cured/Discharged/Migrated Case of COVID-19,2020-05-16,1252.0
